time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst,status,year,month,day,h:m:s,state,city
2021-10-10 17:25:28+00:00,29.33441162,-97.37764246,6.333780924,2.5,17,116,0.078826794,0.3,2021-10-11T20:23:59.988Z,"19 km SSE of Gonzales, Texas",earthquake,2.291208129,2.247995378,0.1,8,reviewed,2021,10,10,17:25:28,Texas,Gonzales
2021-10-10 13:17:14+00:00,31.60533424,-104.5013316,8.522412109,3.8,22,73,0.06337588,0.3,2021-10-14T17:15:33.833Z,"64 km S of Whites City, New Mexico",earthquake,1.849498753,1.607079021,0.2,12,reviewed,2021,10,10,13:17:14,Texas,Van Horn
2021-10-10 11:41:28+00:00,29.33258057,-97.37971048,3.888305664,2.5,13,114,0.076414423,0.2,2021-10-11T20:14:53.006Z,Southern Texas,earthquake,2.121700459,3.130414182,0.1,11,reviewed,2021,10,10,11:41:28,Texas,Gonzales
2021-10-10 04:38:02+00:00,38.7858333,-122.766,1.66,2.59,92,57,0.01509,0.08,2021-10-12T20:27:12.440Z,"1km NW of The Geysers, CA",earthquake,0.1,0.18,0.142,70,reviewed,2021,10,10,4:38:02,California,Cobb
2021-10-10 01:18:10+00:00,31.7978333,-116.0445,5.75,2.54,18,164,0.2221,0.17,2021-10-11T15:53:12.875Z,"50km E of Maneadero, B.C., MX",earthquake,0.32,1.07,0.056,5,reviewed,2021,10,10,1:18:10,Baja California,Fraccionamiento del Valle
2021-10-09 22:58:23+00:00,31.70791165,-104.0190473,7.005639648,2.5,23,63,0.026318924,0.2,2021-10-11T20:28:33.315Z,"39 km W of Mentone, Texas",earthquake,0.781406787,0.558538565,0.2,16,reviewed,2021,10,9,22:58:23,Texas,Mentone
2021-10-09 22:51:25+00:00,38.7865,-122.7673333,1.6,2.56,81,49,0.01531,0.05,2021-10-10T22:43:10.176Z,"1km NW of The Geysers, CA",earthquake,0.12,0.17,0.158,60,reviewed,2021,10,9,22:51:25,California,Cobb
2021-10-09 22:48:13+00:00,43.7908333,-110.9225,10.94,2.57,15,120,0.103,0.21,2021-10-10T18:10:50.304Z,"10 km ENE of Alta, Wyoming",earthquake,0.65,0.86,0.176,25,reviewed,2021,10,9,22:48:13,Idaho,Driggs
2021-10-09 22:02:52+00:00,44.3586667,-115.2086667,9.06,2.59,10,83,0.981,0.28,2021-10-11T17:33:57.930Z,"26 km NW of Stanley, Idaho",earthquake,2.22,4.1,0.179,13,reviewed,2021,10,9,22:02:52,Idaho,Idaho City
2021-10-09 19:54:34+00:00,36.9081667,-122.2165,5.09,2.53,84,199,0.1476,0.14,2021-10-10T16:19:47.010Z,"16km SSW of Bonny Doon, CA",earthquake,0.31,0.84,0.168,81,reviewed,2021,10,9,19:54:34,California,Bonny Doon
2021-10-09 13:29:45+00:00,44.2978,-115.0655,10,2.6,42.15871825,65,0.741,0.44,2021-10-10T00:43:42.365Z,"13 km NW of Stanley, Idaho",earthquake,2.1,2,0.049,54,reviewed,2021,10,9,13:29:45,Idaho,Challis
2021-10-09 11:34:35+00:00,44.2838333,-115.1845,10.3,2.65,14,83,0.828,0.25,2021-10-09T14:35:44.210Z,"20 km WNW of Stanley, Idaho",earthquake,0.98,1.54,0.209,13,reviewed,2021,10,9,11:34:35,Idaho,Idaho City
2021-10-09 10:12:22+00:00,44.2766667,-115.0771667,7.65,2.59,15,78,0.753,0.2,2021-10-11T23:32:17.400Z,southern Idaho,earthquake,0.69,1.27,0.175,18,reviewed,2021,10,9,10:12:22,Idaho,Challis
2021-10-09 10:01:41+00:00,44.2763333,-115.076,7.42,2.68,15,78,0.752,0.24,2021-10-11T23:25:38.650Z,"12 km WNW of Stanley, Idaho",earthquake,0.83,1.68,0.163,17,reviewed,2021,10,9,10:01:41,Idaho,Challis
2021-10-09 09:00:38+00:00,44.3072,-115.0431,10,2.9,42.15871825,64,0.872,0.6,2021-10-11T23:03:11.410Z,"13 km NW of Stanley, Idaho",earthquake,2.1,2,0.046,62,reviewed,2021,10,9,9:00:38,Idaho,Challis
2021-10-09 08:50:49+00:00,44.2846667,-115.0705,7.58,2.64,19,78,0.747,0.19,2021-10-11T22:51:59.250Z,"12 km NW of Stanley, Idaho",earthquake,0.62,1.13,0.146,19,reviewed,2021,10,9,8:50:49,Idaho,Challis
2021-10-09 07:20:14+00:00,44.2965,-115.0798333,5.42,2.72,9,139,0.752,0.11,2021-10-11T21:59:57.040Z,"14 km NW of Stanley, Idaho",earthquake,0.45,1.18,0.11,9,reviewed,2021,10,9,7:20:14,Idaho,Challis
2021-10-09 07:19:03+00:00,44.3203,-115.1348,10,2.8,42.15871825,42,0.919,0.49,2021-10-11T21:53:22.500Z,"19 km NW of Stanley, Idaho",earthquake,2.1,2,0.042,76,reviewed,2021,10,9,7:19:03,Idaho,Idaho City
2021-10-09 07:16:15+00:00,44.3553,-115.1289,4.17,2.5,42.15871825,33,0.945,0.4,2021-10-11T21:42:41.550Z,"21 km NW of Stanley, Idaho",earthquake,5.6,3.3,0.043,70,reviewed,2021,10,9,7:16:15,Idaho,Idaho City
2021-10-09 06:38:32+00:00,44.3206,-115.0841,10,3.1,42.15871825,64,0.899,0.39,2021-10-11T21:01:58.120Z,"16 km NW of Stanley, Idaho",earthquake,3.3,2,0.04,83,reviewed,2021,10,9,6:38:32,Idaho,Challis
2021-10-09 06:23:50+00:00,44.3275,-115.0504,10,2.5,42.15871825,63,0.892,0.66,2021-10-11T20:51:46.340Z,"15 km NW of Stanley, Idaho",earthquake,3.1,2,0.046,62,reviewed,2021,10,9,6:23:50,Idaho,Challis
2021-10-09 06:19:13+00:00,44.2905,-115.0778333,9.14,2.54,13,84,0.751,0.2,2021-10-11T20:35:58.430Z,"13 km NW of Stanley, Idaho",earthquake,0.67,1.39,0.154,16,reviewed,2021,10,9,6:19:13,Idaho,Challis
2021-10-09 06:01:48+00:00,44.3414,-115.1235,10,2.6,42.15871825,63,0.932,0.61,2021-10-11T20:29:21.730Z,"20 km NW of Stanley, Idaho",earthquake,2.1,2,0.041,79,reviewed,2021,10,9,6:01:48,Idaho,Idaho City
2021-10-09 05:42:53+00:00,44.3043333,-115.0816667,4.26,3.26,11,103,0.753,0.22,2021-10-11T18:17:15.140Z,"14 km NW of Stanley, Idaho",earthquake,0.8,1.59,0.19,36,reviewed,2021,10,9,5:42:53,Idaho,Challis
2021-10-09 03:49:56+00:00,40.5908333,-124.9241667,19.57,2.78,58,252,0.4617,0.2,2021-10-09T10:58:12.163Z,"56km W of Ferndale, CA",earthquake,0.94,2.18,0.124,45,reviewed,2021,10,9,3:49:56,California,Ferndale
2021-10-08 23:07:40+00:00,35.6535,-97.17016667,6.93,2.65,100,45,0,0.15,2021-10-16T02:17:12.040Z,"2 km ESE of Luther, Oklahoma",earthquake,1.05535678,0.3,0.2,26,reviewed,2021,10,8,23:07:40,Oklahoma,Luther
2021-10-08 13:51:23+00:00,31.67664352,-104.3903452,6.542895508,2.7,28,55,0.094481196,0.3,2021-10-09T04:16:48.040Z,"55 km S of Whites City, New Mexico",earthquake,0.960110668,1.233280773,0.1,16,reviewed,2021,10,8,13:51:23,New Mexico,Loving
2021-10-08 13:17:49+00:00,44.3135,-115.0272,9.03,2.7,42.15871825,56,0.712,0.71,2021-10-08T15:59:00.040Z,"12 km NNW of Stanley, Idaho",earthquake,2.3,10.3,0.049,54,reviewed,2021,10,8,13:17:49,Idaho,Challis
2021-10-08 12:16:55+00:00,31.67458066,-104.3895193,6.825683594,2.7,27,56,0.095031086,0.3,2021-10-08T15:55:25.418Z,"55 km S of Whites City, New Mexico",earthquake,1.047417988,1.379486387,0.2,16,reviewed,2021,10,8,12:16:55,New Mexico,Loving
2021-10-08 12:06:11+00:00,40.577,-124.9398333,9.24,2.72,15,287,0.4702,0.08,2021-10-09T01:31:13.722Z,"57km W of Ferndale, CA",earthquake,0.64,1.43,0.149,35,reviewed,2021,10,8,12:06:11,California,Ferndale
2021-10-08 07:11:07+00:00,31.67938011,-104.3935997,6.74855957,2.7,30,54,0.091997223,0.3,2021-10-08T16:05:51.508Z,"55 km S of Whites City, New Mexico",earthquake,0.921938157,1.137041771,0.2,18,reviewed,2021,10,8,7:11:07,New Mexico,Loving
2021-10-08 03:58:23+00:00,41.1355,-122.1508333,6.64,2.52,23,64,0.1191,0.1,2021-10-11T00:00:55.182Z,"13km SE of Dunsmuir, CA",earthquake,0.25,1.19,0.157,36,reviewed,2021,10,8,3:58:23,California,McCloud
2021-10-08 03:50:17+00:00,44.3047,-115.0142,10,2.8,42.15871825,64,0.859,0.74,2021-10-08T17:46:22.200Z,"11 km NNW of Stanley, Idaho",earthquake,3.4,2,0.043,72,reviewed,2021,10,8,3:50:17,Idaho,Challis
2021-10-08 03:20:42+00:00,44.3015,-115.0325,9.6,2.52,13,76,0.718,0.22,2021-10-08T17:56:34.840Z,"11 km NW of Stanley, Idaho",earthquake,0.7,1.73,0.112,13,reviewed,2021,10,8,3:20:42,Idaho,Challis
2021-10-08 03:14:16+00:00,44.2675,-114.9866,10,2.9,42.15871825,66,0.817,0.99,2021-10-08T14:41:22.390Z,"6 km NW of Stanley, Idaho",earthquake,2.2,2,0.042,76,reviewed,2021,10,8,3:14:16,Idaho,Challis
2021-10-08 01:08:52+00:00,40.5936667,-124.9208333,23.81,2.83,26,255,0.46,0.2,2021-10-08T10:34:15.509Z,"56km W of Ferndale, CA",earthquake,1.09,12.34,0.17,27,reviewed,2021,10,8,1:08:52,California,Ferndale
2021-10-08 00:44:53+00:00,35.9543333,-119.886,29.21,2.91,44,75,0.226275377,0.16,2021-10-09T21:02:34.040Z,"9km SE of Kettleman City, CA",earthquake,0.37,1.06,0.182,68,reviewed,2021,10,8,0:44:53,California,Kettleman City
2021-10-08 00:13:49+00:00,38.1018333,-118.9533333,9.57,3.66,98,44,0.1014,0.11,2021-10-09T22:04:27.172Z,"13km SSE of Bodie, CA",earthquake,0.14,0.77,0.159464844,4,reviewed,2021,10,8,0:13:49,California,Bridgeport
2021-10-07 15:24:39+00:00,31.60897138,-104.5067478,9.242236328,2.5,10,144,0.059947991,0.3,2021-10-07T17:19:22.040Z,"64 km S of Whites City, New Mexico",earthquake,2.573840384,1.550898545,0.2,6,reviewed,2021,10,7,15:24:39,Texas,Van Horn
2021-10-07 10:20:09+00:00,31.68652249,-104.3907024,6.722851562,2.9,29,68,0.0955299,0.3,2021-10-07T16:57:02.174Z,"54 km S of Whites City, New Mexico",earthquake,1.001863118,1.356703637,0.2,17,reviewed,2021,10,7,10:20:09,New Mexico,Loving
2021-10-07 06:50:44+00:00,31.67847833,-104.3908999,6.131567383,2.6,28,68,0.094184503,0.3,2021-10-07T17:03:18.608Z,"55 km S of Whites City, New Mexico",earthquake,1.053381997,1.307054943,0.2,18,reviewed,2021,10,7,6:50:44,New Mexico,Loving
2021-10-07 02:18:48+00:00,40.6101667,-122.452,22.17,2.55,19,51,0.06319,0.09,2021-10-07T23:14:11.350Z,"4km ENE of Shasta, CA",earthquake,0.4,0.29,0.093,28,reviewed,2021,10,7,2:18:48,California,Shasta
2021-10-07 01:10:40+00:00,44.3866667,-115.2188333,8.46,2.52,11,90,1.008,0.21,2021-10-08T18:15:25.450Z,"29 km NW of Stanley, Idaho",earthquake,1.8,3.08,0.114,14,reviewed,2021,10,7,1:10:40,Idaho,Idaho City
2021-10-06 23:35:03+00:00,44.3118,-115.089,7.43,2.6,42.15871825,56,0.893,0.58,2021-10-07T17:58:36.286Z,"15 km NW of Stanley, Idaho",earthquake,3.6,1.6,0.045,64,reviewed,2021,10,6,23:35:03,Idaho,Challis
2021-10-06 21:06:08+00:00,45.1396667,-106.9428333,-2,3.46,9,105,1.629,0.34,2021-10-07T23:03:45.510Z,"30 km NE of Ranchester, Wyoming",quarry blast,1.44,31.61,0.212,26,reviewed,2021,10,6,21:06:08,Wyoming,Sheridan
2021-10-06 20:57:29+00:00,44.3638,-115.2368,10,2.6,42.15871825,62,0.997,0.76,2021-10-15T19:51:09.266Z,"28 km NW of Stanley, Idaho",earthquake,3.8,2,0.048,58,reviewed,2021,10,6,20:57:29,Idaho,Idaho City
2021-10-06 14:25:27+00:00,36.989,-118.3253333,8.89,3.52,46,65,0.1002,0.11,2021-10-13T20:05:53.133Z,"20km S of Big Pine, CA",earthquake,0.29,0.87,0.159464844,3,reviewed,2021,10,6,14:25:27,California,Big Pine
2021-10-06 01:46:47+00:00,31.71966647,-104.3454873,6.799975586,2.8,36,58,0.066188991,0.3,2021-10-06T15:20:43.450Z,"50 km S of Whites City, New Mexico",earthquake,0.988398407,1.066759605,0.1,21,reviewed,2021,10,6,1:46:47,New Mexico,Loving
2021-10-05 17:52:14+00:00,33.0553333,-115.5843333,11.14,2.71,49,38,0.01715,0.23,2021-10-05T20:01:28.280Z,"4km ENE of Westmorland, CA",earthquake,0.2,0.38,0.215,25,reviewed,2021,10,5,17:52:14,California,Westmorland
2021-10-05 15:32:23+00:00,33.7835,-116.0545,7.1,2.86,95,39,0.1339,0.17,2021-10-05T16:42:25.040Z,"16km NE of Coachella, CA",earthquake,0.1,0.37,0.116,30,reviewed,2021,10,5,15:32:23,California,Coachella
2021-10-05 11:55:04+00:00,31.7582896,-103.8401442,6.568603516,2.6,28,54,0.16426155,0.2,2021-10-12T07:50:07.040Z,"23 km WNW of Mentone, Texas",earthquake,0.76629072,1.828319327,0.2,15,reviewed,2021,10,5,11:55:04,Texas,Mentone
2021-10-05 07:30:43+00:00,37.3928,-117.1122,2.5,2.8,35,107.49,0.15,0.1441,2021-10-12T07:21:48.040Z,"36 km SSE of Goldfield, Nevada",earthquake,1.05535678,2.4,0.49,24,reviewed,2021,10,5,7:30:43,Nevada,Goldfield
2021-10-05 03:18:13+00:00,44.3703333,-115.2158333,10.71,2.74,17,83,0.994,0.26,2021-10-05T15:20:02.130Z,"27 km NW of Stanley, Idaho",earthquake,0.65,2.99,0.251,22,reviewed,2021,10,5,3:18:13,Idaho,Idaho City
2021-10-05 03:07:35+00:00,37.3863,-117.1124,5.1,2.9,34,106.75,0.146,0.1458,2021-10-08T01:09:16.040Z,"37 km SSE of Goldfield, Nevada",earthquake,1.05535678,2.4,0.47,22,reviewed,2021,10,5,3:07:35,Nevada,Goldfield
2021-10-05 00:30:08+00:00,44.7503333,-110.6238333,4.92,2.61,28,79,0.05262,0.19,2021-10-05T14:02:43.820Z,"25 km SSE of Mammoth, Wyoming",earthquake,0.35,0.45,0.266,7,reviewed,2021,10,5,0:30:08,Montana,West Yellowstone
2021-10-05 00:02:06+00:00,37.3931,-117.1145,4.8,2.6,31,107.35,0.149,0.191,2021-10-05T17:05:47.930Z,"36 km SSE of Goldfield, Nevada",earthquake,1.05535678,2.7,0.3,19,reviewed,2021,10,5,0:02:06,Nevada,Goldfield
2021-10-04 23:07:48+00:00,36.5891667,-121.2886667,6.36,3.66,82,59,0.03011,0.16,2021-10-08T20:32:44.462Z,"14km WNW of Pinnacles, CA",earthquake,0.14,0.39,0.165,115,reviewed,2021,10,4,23:07:48,California,Soledad
